strength,change,shift,shift_day,end_of_day,prop_infected
2,1,5,1,7,0.2
2,1,5,2,7,
2,1,5,3,7,
2,1,10,1,7,0.2
2,1,10,2,7,
2,1,10,3,7,
2,1,20,1,7,0.3
2,1,20,2,7,
2,1,20,3,7,
2,1,30,1,7,0.38333333333333336
2,1,30,2,7,
2,1,30,3,7,
2,3,5,1,7,0.2
2,3,5,2,7,
2,3,5,3,7,
2,3,10,1,7,0.2
2,3,10,2,7,
2,3,10,3,7,
2,3,20,1,7,0.3
2,3,20,2,7,
2,3,20,3,7,
2,3,30,1,7,0.3916666666666667
2,3,30,2,7,
2,3,30,3,7,
2,7,5,1,7,0.3
2,7,5,2,7,
2,7,5,3,7,
2,7,10,1,7,0.4
2,7,10,2,7,
2,7,10,3,7,
2,7,20,1,7,0.5
2,7,20,2,7,
2,7,20,3,7,
2,7,30,1,7,0.5
2,7,30,2,7,
2,7,30,3,7,
2,14,5,1,7,0.4
2,14,5,2,7,
2,14,5,3,7,
2,14,10,1,7,0.4
2,14,10,2,7,
2,14,10,3,7,
2,14,20,1,7,0.5
2,14,20,2,7,
2,14,20,3,7,
2,14,30,1,7,0.5
2,14,30,2,7,
2,14,30,3,7,
2,21,5,1,7,0.35
2,21,5,2,7,
2,21,5,3,7,
2,21,10,1,7,0.45
2,21,10,2,7,
2,21,10,3,7,
2,21,20,1,7,0.5
2,21,20,2,7,
2,21,20,3,7,
2,21,30,1,7,0.5
2,21,30,2,7,
2,21,30,3,7,
4,1,5,1,7,0.05
4,1,5,2,7,0.1
4,1,5,3,7,0.1
4,1,10,1,7,0.075
4,1,10,2,7,0.075
4,1,10,3,7,0.075
4,1,20,1,7,0.0625
4,1,20,2,7,0.0875
4,1,20,3,7,0.11875
4,1,30,1,7,0.1
4,1,30,2,7,0.125
4,1,30,3,7,0.16666666666666666
4,3,5,1,7,0.1
4,3,5,2,7,0.1
4,3,5,3,7,0.1
4,3,10,1,7,0.1
4,3,10,2,7,0.1
4,3,10,3,7,0.1
4,3,20,1,7,0.125
4,3,20,2,7,0.1625
4,3,20,3,7,0.16875
4,3,30,1,7,0.175
4,3,30,2,7,0.2
4,3,30,3,7,0.21250000000000002
4,7,5,1,7,0.2
4,7,5,2,7,0.15
4,7,5,3,7,0.2
4,7,10,1,7,0.2
4,7,10,2,7,0.225
4,7,10,3,7,0.2
4,7,20,1,7,0.25
4,7,20,2,7,0.25
4,7,20,3,7,0.25
4,7,30,1,7,0.25
4,7,30,2,7,0.25
4,7,30,3,7,0.25
4,14,5,1,7,0.15
4,14,5,2,7,0.2
4,14,5,3,7,0.15
4,14,10,1,7,0.2
4,14,10,2,7,0.225
4,14,10,3,7,0.2
4,14,20,1,7,0.25
4,14,20,2,7,0.25
4,14,20,3,7,0.25
4,14,30,1,7,0.25
4,14,30,2,7,0.25
4,14,30,3,7,0.25
4,21,5,1,7,0.15
4,21,5,2,7,0.15
4,21,5,3,7,0.15
4,21,10,1,7,0.21250000000000002
4,21,10,2,7,0.2
4,21,10,3,7,0.2
4,21,20,1,7,0.25
4,21,20,2,7,0.25
4,21,20,3,7,0.25
4,21,30,1,7,0.25
4,21,30,2,7,0.25
4,21,30,3,7,0.25
6,1,5,1,7,0.06666666666666667
6,1,5,2,7,0.03333333333333333
6,1,5,3,7,0.03333333333333333
6,1,10,1,7,0.03333333333333333
6,1,10,2,7,0.03333333333333333
6,1,10,3,7,0.03333333333333333
6,1,20,1,7,0.041666666666666664
6,1,20,2,7,0.041666666666666664
6,1,20,3,7,0.041666666666666664
6,1,30,1,7,0.03888888888888889
6,1,30,2,7,0.044444444444444446
6,1,30,3,7,0.06666666666666667
6,3,5,1,7,0.06666666666666667
6,3,5,2,7,0.06666666666666667
6,3,5,3,7,0.06666666666666667
6,3,10,1,7,0.06666666666666667
6,3,10,2,7,0.058333333333333334
6,3,10,3,7,0.05
6,3,20,1,7,0.07083333333333333
6,3,20,2,7,0.075
6,3,20,3,7,0.0875
6,3,30,1,7,0.11666666666666667
6,3,30,2,7,0.1111111111111111
6,3,30,3,7,0.12222222222222222
6,7,5,1,7,0.1
6,7,5,2,7,0.1
6,7,5,3,7,0.1
6,7,10,1,7,0.13333333333333333
6,7,10,2,7,0.14166666666666666
6,7,10,3,7,0.13333333333333333
6,7,20,1,7,0.16249999999999998
6,7,20,2,7,0.16666666666666666
6,7,20,3,7,0.16666666666666666
6,7,30,1,7,0.16666666666666666
6,7,30,2,7,0.16666666666666666
6,7,30,3,7,0.16666666666666666
6,14,5,1,7,0.13333333333333333
6,14,5,2,7,0.11666666666666667
6,14,5,3,7,0.1
6,14,10,1,7,0.13333333333333333
6,14,10,2,7,0.13333333333333333
6,14,10,3,7,0.15
6,14,20,1,7,0.16666666666666666
6,14,20,2,7,0.16666666666666666
6,14,20,3,7,0.16666666666666666
6,14,30,1,7,0.16666666666666666
6,14,30,2,7,0.16666666666666666
6,14,30,3,7,0.16666666666666666
6,21,5,1,7,0.13333333333333333
6,21,5,2,7,0.1
6,21,5,3,7,0.1
6,21,10,1,7,0.15
6,21,10,2,7,0.15
6,21,10,3,7,0.13333333333333333
6,21,20,1,7,0.16666666666666666
6,21,20,2,7,0.16666666666666666
6,21,20,3,7,0.16666666666666666
6,21,30,1,7,0.16666666666666666
6,21,30,2,7,0.16666666666666666
6,21,30,3,7,0.16666666666666666
2,1,5,1,14,0.3
2,1,5,2,14,
2,1,5,3,14,
2,1,10,1,14,0.4
2,1,10,2,14,
2,1,10,3,14,
2,1,20,1,14,0.5
2,1,20,2,14,
2,1,20,3,14,
2,1,30,1,14,0.5
2,1,30,2,14,
2,1,30,3,14,
2,3,5,1,14,0.4
2,3,5,2,14,
2,3,5,3,14,
2,3,10,1,14,0.45
2,3,10,2,14,
2,3,10,3,14,
2,3,20,1,14,0.5
2,3,20,2,14,
2,3,20,3,14,
2,3,30,1,14,0.5
2,3,30,2,14,
2,3,30,3,14,
2,7,5,1,14,0.3
2,7,5,2,14,
2,7,5,3,14,
2,7,10,1,14,0.4
2,7,10,2,14,
2,7,10,3,14,
2,7,20,1,14,0.5
2,7,20,2,14,
2,7,20,3,14,
2,7,30,1,14,0.5
2,7,30,2,14,
2,7,30,3,14,
2,14,5,1,14,0.5
2,14,5,2,14,
2,14,5,3,14,
2,14,10,1,14,0.5
2,14,10,2,14,
2,14,10,3,14,
2,14,20,1,14,0.5
2,14,20,2,14,
2,14,20,3,14,
2,14,30,1,14,0.5
2,14,30,2,14,
2,14,30,3,14,
2,21,5,1,14,0.5
2,21,5,2,14,
2,21,5,3,14,
2,21,10,1,14,0.5
2,21,10,2,14,
2,21,10,3,14,
2,21,20,1,14,0.5
2,21,20,2,14,
2,21,20,3,14,
2,21,30,1,14,0.5
2,21,30,2,14,
2,21,30,3,14,
4,1,5,1,14,0.1
4,1,5,2,14,0.15
4,1,5,3,14,0.15
4,1,10,1,14,0.15
4,1,10,2,14,0.15
4,1,10,3,14,0.225
4,1,20,1,14,0.2625
4,1,20,2,14,0.3625
4,1,20,3,14,0.5125
4,1,30,1,14,0.48333333333333334
4,1,30,2,14,0.6458333333333334
4,1,30,3,14,0.7583333333333333
4,3,5,1,14,0.15
4,3,5,2,14,0.15
4,3,5,3,14,0.15
4,3,10,1,14,0.2
4,3,10,2,14,0.25
4,3,10,3,14,0.275
4,3,20,1,14,0.4125
4,3,20,2,14,0.4875
4,3,20,3,14,0.475
4,3,30,1,14,0.6125
4,3,30,2,14,0.65
4,3,30,3,14,0.6166666666666667
4,7,5,1,14,0.2
4,7,5,2,14,0.15
4,7,5,3,14,0.2
4,7,10,1,14,0.2
4,7,10,2,14,0.225
4,7,10,3,14,0.2
4,7,20,1,14,0.25
4,7,20,2,14,0.25
4,7,20,3,14,0.25
4,7,30,1,14,0.25
4,7,30,2,14,0.25
4,7,30,3,14,0.25
4,14,5,1,14,0.25
4,14,5,2,14,0.25
4,14,5,3,14,0.25
4,14,10,1,14,0.25
4,14,10,2,14,0.25
4,14,10,3,14,0.25
4,14,20,1,14,0.25
4,14,20,2,14,0.25
4,14,20,3,14,0.25
4,14,30,1,14,0.25
4,14,30,2,14,0.25
4,14,30,3,14,0.25
4,21,5,1,14,0.25
4,21,5,2,14,0.25
4,21,5,3,14,0.25
4,21,10,1,14,0.25
4,21,10,2,14,0.25
4,21,10,3,14,0.25
4,21,20,1,14,0.25
4,21,20,2,14,0.25
4,21,20,3,14,0.25
4,21,30,1,14,0.25
4,21,30,2,14,0.25
4,21,30,3,14,0.25
6,1,5,1,14,0.06666666666666667
6,1,5,2,14,0.06666666666666667
6,1,5,3,14,0.06666666666666667
6,1,10,1,14,0.05
6,1,10,2,14,0.06666666666666667
6,1,10,3,14,0.08333333333333333
6,1,20,1,14,0.11666666666666667
6,1,20,2,14,0.13333333333333333
6,1,20,3,14,0.15416666666666667
6,1,30,1,14,0.1388888888888889
6,1,30,2,14,0.22777777777777777
6,1,30,3,14,0.35555555555555557
6,3,5,1,14,0.08333333333333334
6,3,5,2,14,0.1
6,3,5,3,14,0.08333333333333334
6,3,10,1,14,0.11666666666666667
6,3,10,2,14,0.08333333333333333
6,3,10,3,14,0.13333333333333333
6,3,20,1,14,0.225
6,3,20,2,14,0.25833333333333336
6,3,20,3,14,0.3
6,3,30,1,14,0.4083333333333333
6,3,30,2,14,0.4388888888888889
6,3,30,3,14,0.4722222222222222
6,7,5,1,14,0.1
6,7,5,2,14,0.1
6,7,5,3,14,0.1
6,7,10,1,14,0.13333333333333333
6,7,10,2,14,0.14166666666666666
6,7,10,3,14,0.13333333333333333
6,7,20,1,14,0.16249999999999998
6,7,20,2,14,0.16666666666666666
6,7,20,3,14,0.16666666666666666
6,7,30,1,14,0.16666666666666666
6,7,30,2,14,0.16666666666666666
6,7,30,3,14,0.16666666666666666
6,14,5,1,14,0.16666666666666666
6,14,5,2,14,0.16666666666666666
6,14,5,3,14,0.16666666666666666
6,14,10,1,14,0.16666666666666666
6,14,10,2,14,0.16666666666666666
6,14,10,3,14,0.16666666666666666
6,14,20,1,14,0.16666666666666666
6,14,20,2,14,0.16666666666666666
6,14,20,3,14,0.16666666666666666
6,14,30,1,14,0.16666666666666666
6,14,30,2,14,0.16666666666666666
6,14,30,3,14,0.16666666666666666
6,21,5,1,14,0.16666666666666666
6,21,5,2,14,0.16666666666666666
6,21,5,3,14,0.16666666666666666
6,21,10,1,14,0.16666666666666666
6,21,10,2,14,0.16666666666666666
6,21,10,3,14,0.16666666666666666
6,21,20,1,14,0.16666666666666666
6,21,20,2,14,0.16666666666666666
6,21,20,3,14,0.16666666666666666
6,21,30,1,14,0.16666666666666666
6,21,30,2,14,0.16666666666666666
6,21,30,3,14,0.16666666666666666
2,1,5,1,21,0.4
2,1,5,2,21,
2,1,5,3,21,
2,1,10,1,21,0.5
2,1,10,2,21,
2,1,10,3,21,
2,1,20,1,21,0.5
2,1,20,2,21,
2,1,20,3,21,
2,1,30,1,21,0.5
2,1,30,2,21,
2,1,30,3,21,
2,3,5,1,21,0.5
2,3,5,2,21,
2,3,5,3,21,
2,3,10,1,21,0.5
2,3,10,2,21,
2,3,10,3,21,
2,3,20,1,21,0.5
2,3,20,2,21,
2,3,20,3,21,
2,3,30,1,21,0.5
2,3,30,2,21,
2,3,30,3,21,
2,7,5,1,21,0.5
2,7,5,2,21,
2,7,5,3,21,
2,7,10,1,21,0.5
2,7,10,2,21,
2,7,10,3,21,
2,7,20,1,21,0.5
2,7,20,2,21,
2,7,20,3,21,
2,7,30,1,21,0.5
2,7,30,2,21,
2,7,30,3,21,
2,14,5,1,21,0.5
2,14,5,2,21,
2,14,5,3,21,
2,14,10,1,21,0.5
2,14,10,2,21,
2,14,10,3,21,
2,14,20,1,21,0.5
2,14,20,2,21,
2,14,20,3,21,
2,14,30,1,21,0.5
2,14,30,2,21,
2,14,30,3,21,
2,21,5,1,21,0.5
2,21,5,2,21,
2,21,5,3,21,
2,21,10,1,21,0.5
2,21,10,2,21,
2,21,10,3,21,
2,21,20,1,21,0.5
2,21,20,2,21,
2,21,20,3,21,
2,21,30,1,21,0.5
2,21,30,2,21,
2,21,30,3,21,
4,1,5,1,21,0.15
4,1,5,2,21,0.2
4,1,5,3,21,0.25
4,1,10,1,21,0.275
4,1,10,2,21,0.35
4,1,10,3,21,0.5
4,1,20,1,21,0.6375
4,1,20,2,21,0.81875
4,1,20,3,21,0.9125
4,1,30,1,21,0.8916666666666667
4,1,30,2,21,0.9666666666666667
4,1,30,3,21,0.9916666666666667
4,3,5,1,21,0.25
4,3,5,2,21,0.2
4,3,5,3,21,0.25
4,3,10,1,21,0.375
4,3,10,2,21,0.475
4,3,10,3,21,0.45
4,3,20,1,21,0.725
4,3,20,2,21,0.8125
4,3,20,3,21,0.7875
4,3,30,1,21,0.825
4,3,30,2,21,0.9083333333333333
4,3,30,3,21,0.9333333333333333
4,7,5,1,21,0.25
4,7,5,2,21,0.3
4,7,5,3,21,0.3
4,7,10,1,21,0.35
4,7,10,2,21,0.4
4,7,10,3,21,0.425
4,7,20,1,21,0.4125
4,7,20,2,21,0.45
4,7,20,3,21,0.4875
4,7,30,1,21,0.4166666666666667
4,7,30,2,21,0.4666666666666667
4,7,30,3,21,0.49166666666666664
4,14,5,1,21,0.25
4,14,5,2,21,0.25
4,14,5,3,21,0.25
4,14,10,1,21,0.25
4,14,10,2,21,0.25
4,14,10,3,21,0.25
4,14,20,1,21,0.25
4,14,20,2,21,0.25
4,14,20,3,21,0.25
4,14,30,1,21,0.25
4,14,30,2,21,0.25
4,14,30,3,21,0.25
4,21,5,1,21,0.25
4,21,5,2,21,0.25
4,21,5,3,21,0.25
4,21,10,1,21,0.25
4,21,10,2,21,0.25
4,21,10,3,21,0.25
4,21,20,1,21,0.25
4,21,20,2,21,0.25
4,21,20,3,21,0.25
4,21,30,1,21,0.25
4,21,30,2,21,0.25
4,21,30,3,21,0.25
6,1,5,1,21,0.1
6,1,5,2,21,0.13333333333333333
6,1,5,3,21,0.1
6,1,10,1,21,0.1
6,1,10,2,21,0.10833333333333334
6,1,10,3,21,0.16666666666666666
6,1,20,1,21,0.29583333333333334
6,1,20,2,21,0.3458333333333333
6,1,20,3,21,0.44166666666666665
6,1,30,1,21,0.4472222222222222
6,1,30,2,21,0.625
6,1,30,3,21,0.8027777777777778
6,3,5,1,21,0.13333333333333333
6,3,5,2,21,0.1
6,3,5,3,21,0.13333333333333333
6,3,10,1,21,0.2
6,3,10,2,21,0.18333333333333332
6,3,10,3,21,0.25
6,3,20,1,21,0.43333333333333335
6,3,20,2,21,0.525
6,3,20,3,21,0.5875
6,3,30,1,21,0.6222222222222222
6,3,30,2,21,0.7027777777777777
6,3,30,3,21,0.7777777777777778
6,7,5,1,21,0.13333333333333333
6,7,5,2,21,0.13333333333333333
6,7,5,3,21,0.16666666666666666
6,7,10,1,21,0.23333333333333334
6,7,10,2,21,0.25
6,7,10,3,21,0.26666666666666666
6,7,20,1,21,0.2916666666666667
6,7,20,2,21,0.3333333333333333
6,7,20,3,21,0.36666666666666664
6,7,30,1,21,0.3
6,7,30,2,21,0.34444444444444444
6,7,30,3,21,0.3888888888888889
6,14,5,1,21,0.16666666666666666
6,14,5,2,21,0.16666666666666666
6,14,5,3,21,0.16666666666666666
6,14,10,1,21,0.16666666666666666
6,14,10,2,21,0.16666666666666666
6,14,10,3,21,0.16666666666666666
6,14,20,1,21,0.16666666666666666
6,14,20,2,21,0.16666666666666666
6,14,20,3,21,0.16666666666666666
6,14,30,1,21,0.16666666666666666
6,14,30,2,21,0.16666666666666666
6,14,30,3,21,0.16666666666666666
6,21,5,1,21,0.16666666666666666
6,21,5,2,21,0.16666666666666666
6,21,5,3,21,0.16666666666666666
6,21,10,1,21,0.16666666666666666
6,21,10,2,21,0.16666666666666666
6,21,10,3,21,0.16666666666666666
6,21,20,1,21,0.16666666666666666
6,21,20,2,21,0.16666666666666666
6,21,20,3,21,0.16666666666666666
6,21,30,1,21,0.16666666666666666
6,21,30,2,21,0.16666666666666666
6,21,30,3,21,0.16666666666666666
